ID,Material,E_MPa,L,W,H,Force_N,Angle,VM_Stress_MPa,Disp_mm
7775,Brass,105000,487.62,28.57,21.59,432.91,27.86,45.073,3.1078
7776,Steel_Mild,200000,1594.5,30.72,31.0,338.29,192.07,23.272,6.2669
7777,Aluminum_6061,69000,576.92,41.4,77.59,1052.1,248.89,13.772,0.565
7778,Steel_Mild,200000,402.78,23.04,77.35,1265.06,209.27,11.498,0.0758
7779,Magnesium_AZ31B,45000,476.06,16.58,43.9,1780.63,104.52,154.826,11.785
7780,Steel_High_Carbon,210000,736.29,45.82,36.73,3069.88,206.94,101.047,4.6574
7781,Magnesium_AZ31B,45000,1516.13,46.13,68.61,4282.22,10.76,34.827,16.6232
7782,Titanium_6Al4V,114000,373.84,56.05,53.68,32979.54,262.09,456.04,6.907
7783,Steel_High_Carbon,210000,1510.85,19.44,51.77,697.63,203.26,48.575,6.7095
7784,Nylon_66,3000,599.97,42.03,115.73,10940.5,313.76,52.256,34.9275
7785,Magnesium_AZ31B,45000,323.38,48.78,31.07,1710.17,63.11,63.411,3.1338
7786,Stainless_304,193000,1391.4,25.37,65.83,2702.47,82.66,203.777,20.6754
7787,Magnesium_AZ31B,45000,1439.02,38.82,72.22,2402.58,205.21,44.424,18.5372
7788,Aluminum_6061,69000,1010.39,55.15,56.75,8350.98,319.12,188.622,32.424
7789,Nylon_66,3000,779.08,33.06,33.21,149.01,316.1,13.346,53.7992
7790,Steel_Mild,200000,531.72,51.81,41.72,975.23,293.33,31.878,0.7156
7791,Polycarbonate,2400,1016.47,23.61,67.7,716.52,339.46,14.594,60.067
7792,Brass,105000,640.14,21.68,33.56,1133.11,244.01,160.935,12.4205
7793,Brass,105000,1989.03,26.89,47.85,1214.16,245.72,214.932,112.6193
7794,Magnesium_AZ31B,45000,1881.99,23.38,54.5,477.27,63.9,69.863,67.0995
7795,Polycarbonate,2400,456.95,42.2,30.57,108.46,132.97,5.577,10.468
7796,Titanium_6Al4V,114000,1488.02,20.28,93.6,15179.15,303.18,643.007,88.3153
7797,Steel_Mild,200000,1545.39,21.22,57.92,1194.88,19.37,52.543,7.0948
7798,Steel_Mild,200000,1644.91,37.19,101.49,2039.32,210.67,27.275,2.3817
7799,Stainless_304,193000,1156.15,59.76,24.25,663.66,14.45,33.134,6.2241
7800,Stainless_304,193000,253.97,25.68,70.68,6719.46,281.26,79.562,0.2468
7801,Copper_Alloy,117000,1705.6,28.44,44.38,142.17,174.09,2.787,0.9989
7802,Steel_High_Carbon,210000,526.87,37.27,57.76,17578.6,112.79,415.648,6.2863
7803,Copper_Alloy,117000,695.08,56.04,31.57,213.32,151.51,7.705,0.6625
7804,Titanium_6Al4V,114000,292.63,37.44,80.47,66661.37,39.04,323.298,1.8928
7805,Brass,105000,1518.14,55.97,81.56,4117.92,295.85,91.084,16.2671
7806,Polycarbonate,2400,649.78,31.38,89.46,2886.97,76.22,43.849,57.0647
7807,Steel_High_Carbon,210000,1947.47,21.69,104.66,3050.85,329.75,76.77,8.6958
7808,Nylon_66,3000,1487.94,44.68,110.6,397.97,143.16,3.964,17.3387
7809,Nylon_66,3000,614.54,27.79,57.92,340.53,67.8,12.56,18.0684
7810,Aluminum_6061,69000,1044.91,35.86,78.4,4299.14,353.49,15.39,1.8656
7811,Steel_Mild,200000,858.95,18.16,63.06,219.35,338.23,5.987,0.2264
7812,Polycarbonate,2400,520.29,59.49,62.57,1187.89,258.32,15.678,18.7384
7813,Steel_Mild,200000,1706.03,51.08,21.52,570.17,227.4,181.965,81.8751
7814,Steel_High_Carbon,210000,932.89,44.91,107.43,28873.28,173.28,42.469,0.9387
7815,Stainless_304,193000,1557.87,48.19,37.67,678.43,114.93,84.256,18.7146
7816,Brass,105000,1263.29,50.08,26.83,798.65,335.32,70.658,26.48
7817,Copper_Alloy,117000,1857.48,45.81,57.1,1786.51,98.03,132.106,45.4469
7818,Steel_Mild,200000,832.9,45.92,47.13,4306.68,65.9,193.481,9.4504
7819,Brass,105000,1687.14,13.61,21.62,103.18,302.15,139.196,116.199
7820,Steel_Mild,200000,669.92,19.1,119.37,13438.37,228.68,153.382,1.8681
7821,Steel_Mild,200000,1042.26,25.43,102.62,11980.57,312.1,210.843,7.3246
7822,Magnesium_AZ31B,45000,1846.29,54.26,110.59,10267.38,163.59,50.078,22.1113
7823,Stainless_304,193000,1292.69,18.29,84.13,4055.56,40.07,158.494,10.7317
7824,Polycarbonate,2400,1942.85,23.3,110.72,719.72,175.83,2.415,20.228
7825,Titanium_6Al4V,114000,212.08,35.64,27.73,10000.06,319.14,311.891,2.8813
7826,Brass,105000,325.54,32.5,39.76,588.26,102.57,21.957,0.3694
7827,Steel_High_Carbon,210000,1332.02,19.35,112.03,4019.04,186.96,17.877,0.8059
7828,Nylon_66,3000,1158.93,40.72,66.6,668.55,178.89,0.745,2.2366
7829,Steel_Mild,200000,1302.43,53.24,83.25,10784.89,288.22,217.802,14.736
7830,Stainless_304,193000,1082.22,14.27,41.97,773.44,332.89,92.21,8.7764
7831,Aluminum_6061,69000,329.75,41.15,106.53,30303.28,125.38,109.66,1.0325
7832,Copper_Alloy,117000,1650.65,43.03,71.08,4091.72,260.88,184.288,40.1982
7833,Titanium_6Al4V,114000,1893.76,20.48,22.91,304.5,162.37,98.105,89.2415
7834,Polycarbonate,2400,819.3,38.85,61.23,767.64,356.0,2.13,5.5046
7835,Nylon_66,3000,1033.65,59.68,88.83,1452.14,150.03,9.797,25.5351
7836,Nylon_66,3000,226.38,58.24,85.06,12129.53,314.25,30.062,3.7519
7837,Aluminum_6061,69000,767.97,30.77,43.03,331.42,206.59,12.225,1.5888
7838,Stainless_304,193000,1687.55,35.59,42.57,336.81,23.09,20.942,4.7918
7839,Steel_High_Carbon,210000,255.17,34.99,32.69,11129.97,154.13,207.894,1.2574
7840,Nylon_66,3000,1672.86,42.67,113.18,1609.02,241.15,26.051,142.1985
7841,Steel_High_Carbon,210000,1706.81,10.02,30.29,301.95,267.58,336.113,102.6073
7842,Copper_Alloy,117000,1332.43,28.47,44.85,764.56,354.09,11.586,2.4788
7843,Titanium_6Al4V,114000,473.81,31.53,117.33,21905.03,111.14,136.704,1.4973
7844,Brass,105000,523.94,57.28,67.77,5808.62,313.75,51.252,1.2895
7845,Polycarbonate,2400,1128.14,46.9,40.65,246.3,179.87,0.178,0.4288
7846,Aluminum_6061,69000,1116.95,53.5,98.3,14853.48,30.74,100.92,12.069
7847,Magnesium_AZ31B,45000,413.2,20.72,88.23,8388.59,138.18,89.747,2.4649
7848,Aluminum_6061,69000,710.17,18.69,116.46,15548.24,29.37,134.714,5.3637
7849,Polycarbonate,2400,781.35,51.99,81.87,1259.14,20.3,6.16,12.1738
7850,Titanium_6Al4V,114000,1980.25,23.1,64.08,5096.74,306.02,518.437,184.7888
7851,Brass,105000,1288.03,42.22,45.38,2314.28,259.64,202.593,46.9693
7852,Stainless_304,193000,1430.85,25.78,66.36,2096.91,74.66,153.279,16.297
7853,Copper_Alloy,117000,900.19,30.51,99.03,4101.61,243.44,66.907,3.0878
7854,Titanium_6Al4V,114000,1868.6,30.72,116.55,15981.69,86.16,428.874,75.0573
7855,Stainless_304,193000,327.81,23.63,86.41,8781.89,327.24,56.913,0.2276
7856,Steel_Mild,200000,603.7,47.27,33.91,2286.58,4.21,12.612,0.4008
7857,Steel_High_Carbon,210000,1939.1,44.43,29.95,1280.92,239.67,323.254,128.6392
7858,Polycarbonate,2400,1127.4,10.87,41.77,171.76,8.34,9.261,75.109
7859,Copper_Alloy,117000,1129.05,31.72,24.73,105.5,116.16,33.128,9.7124
7860,Polycarbonate,2400,1720.49,24.88,94.13,799.96,191.16,7.587,63.3336
7861,Steel_High_Carbon,210000,1042.26,51.63,102.36,2139.98,27.83,11.917,0.3891
7862,Nylon_66,3000,1643.21,45.24,82.42,785.53,314.71,18.062,130.3864
7863,Nylon_66,3000,701.35,26.77,115.82,490.49,336.18,2.472,2.1911
7864,Magnesium_AZ31B,45000,1520.74,37.34,108.66,9141.96,97.13,188.111,59.1966
7865,Steel_Mild,200000,1181.82,31.01,94.95,11824.06,202.79,119.938,5.6961
7866,Copper_Alloy,117000,419.3,52.6,92.19,7307.87,262.63,41.163,0.4432
7867,Magnesium_AZ31B,45000,1596.89,23.92,73.84,1345.43,51.15,77.471,39.3839
7868,Brass,105000,949.84,28.53,108.71,2838.02,10.04,9.273,0.4407
7869,Steel_Mild,200000,1839.31,27.33,55.82,836.53,236.26,90.462,18.2123
7870,Magnesium_AZ31B,45000,1821.56,23.62,60.58,402.33,324.17,29.926,24.0953
7871,Steel_Mild,200000,1942.94,36.02,78.41,5194.62,342.65,83.313,13.0865
7872,Aluminum_6061,69000,1023.9,34.63,111.17,4722.63,132.9,50.548,4.5247
7873,Magnesium_AZ31B,45000,230.04,42.89,37.49,398.19,236.22,7.734,0.1585
7874,Copper_Alloy,117000,1627.09,50.35,111.04,11315.13,163.14,53.566,7.011
7875,Polycarbonate,2400,791.42,50.5,97.01,3547.7,137.37,24.573,43.0562
7876,Steel_High_Carbon,210000,520.97,29.94,64.86,13248.42,151.25,164.348,2.1009
7877,Polycarbonate,2400,1040.25,42.05,52.46,882.26,353.15,6.074,32.5197
7878,Aluminum_6061,69000,743.92,25.5,66.67,1161.47,153.72,20.879,1.6242
7879,Brass,105000,1769.91,39.18,51.75,1554.71,294.9,143.058,54.8538
7880,Magnesium_AZ31B,45000,1719.71,56.05,50.71,1395.2,113.6,91.731,79.0789
7881,Titanium_6Al4V,114000,1331.19,42.84,20.43,741.32,147.39,179.174,90.5209
7882,Stainless_304,193000,881.28,57.5,42.28,3350.56,287.57,164.774,10.4266
7883,Titanium_6Al4V,114000,1938.39,43.16,62.93,11344.12,194.81,201.368,68.8939
7884,Steel_Mild,200000,773.04,49.1,36.28,3139.49,21.53,84.345,4.5401
7885,Nylon_66,3000,1628.57,50.4,36.79,386.01,170.07,9.74,152.7521
7886,Aluminum_6061,69000,519.64,46.58,68.57,13428.7,232.63,154.725,5.7806
7887,Copper_Alloy,117000,1264.61,38.53,106.72,7829.88,270.56,135.488,11.5596
7888,Copper_Alloy,117000,1096.05,13.74,74.89,1554.71,6.54,16.619,1.3813
7889,Aluminum_6061,69000,318.22,49.26,59.11,19184.08,6.6,31.068,0.406
7890,Steel_High_Carbon,210000,442.28,22.72,119.38,47702.44,263.05,392.83,2.0187
7891,Steel_High_Carbon,210000,1655.45,26.26,40.92,499.38,38.42,70.468,14.9041
7892,Titanium_6Al4V,114000,307.74,56.26,112.41,23525.05,257.49,61.189,0.2939
7893,Stainless_304,193000,201.15,31.29,81.93,3790.99,138.98,15.618,0.0244
7894,Steel_High_Carbon,210000,1292.58,41.17,21.39,497.87,49.32,155.825,38.5471
7895,Aluminum_6061,69000,529.69,55.59,26.94,2867.89,126.35,183.133,18.3091
7896,Steel_High_Carbon,210000,587.74,42.16,58.4,15444.58,15.65,108.309,1.9188
7897,Titanium_6Al4V,114000,1577.36,52.98,62.17,5859.64,201.51,100.969,23.2398
7898,Aluminum_6061,69000,1737.19,49.46,39.41,1827.89,230.62,192.31,141.8351
7899,Stainless_304,193000,1532.06,58.18,23.84,734.98,17.66,62.491,21.0806
7900,Stainless_304,193000,1280.8,18.92,90.99,3633.24,131.62,134.714,8.2983
7901,Magnesium_AZ31B,45000,1720.71,26.17,79.27,154.64,344.6,2.651,1.4267
7902,Polycarbonate,2400,784.48,23.13,79.3,467.7,173.69,1.918,3.5868
7903,Nylon_66,3000,646.15,23.9,104.32,2280.4,20.52,12.799,10.5985
7904,Polycarbonate,2400,252.53,56.27,93.62,2193.5,170.9,1.487,0.2063
7905,Magnesium_AZ31B,45000,1975.08,43.06,58.78,435.12,306.58,27.937,27.3638
7906,Steel_Mild,200000,611.66,10.95,72.39,2142.15,24.6,59.562,0.9826
7907,Aluminum_6061,69000,555.05,41.93,100.93,16291.98,319.75,85.258,2.4206
7908,Titanium_6Al4V,114000,274.74,49.15,68.72,121320.2,314.54,642.775,3.9453
7909,Magnesium_AZ31B,45000,1689.39,14.58,66.37,963.91,290.1,143.228,91.0144
7910,Magnesium_AZ31B,45000,979.85,20.52,44.66,1009.94,319.04,95.952,30.2888
7911,Steel_High_Carbon,210000,578.5,17.68,116.75,18976.26,117.52,247.548,2.2058
7912,Magnesium_AZ31B,45000,1893.07,48.58,56.31,2561.26,127.85,149.715,140.6064
7913,Stainless_304,193000,764.0,34.06,111.76,23369.73,323.66,154.454,2.6921
7914,Steel_High_Carbon,210000,727.86,39.66,40.09,6916.29,253.27,455.181,19.0376
7915,Magnesium_AZ31B,45000,1838.7,25.09,106.98,2003.0,186.43,9.362,4.035
7916,Brass,105000,349.09,25.84,82.06,3846.87,24.96,21.279,0.1843
7917,Brass,105000,1074.19,46.07,26.49,734.43,322.63,89.354,24.5788
7918,Aluminum_6061,69000,1927.16,43.35,51.04,759.79,291.85,72.339,50.7645
7919,Brass,105000,365.64,24.7,46.46,705.62,338.44,11.257,0.1949
7920,Steel_High_Carbon,210000,681.93,10.83,75.2,1717.05,169.38,23.235,0.4151
7921,Brass,105000,447.68,11.0,112.59,9761.66,6.24,28.361,0.2334
7922,Copper_Alloy,117000,1285.62,24.61,57.09,454.9,298.14,38.736,6.3636
7923,Titanium_6Al4V,114000,1070.9,51.26,90.52,7097.16,37.44,67.262,4.8902
7924,Aluminum_6061,69000,1930.91,59.4,106.61,16194.03,25.06,120.058,39.7736
7925,Steel_Mild,200000,1681.98,49.23,38.4,816.71,205.4,49.094,11.9599
7926,Magnesium_AZ31B,45000,1091.58,46.64,111.28,15461.68,191.81,38.834,5.693
7927,Copper_Alloy,117000,1675.34,23.11,57.98,1607.02,294.02,190.434,52.3881
7928,Steel_High_Carbon,210000,250.44,56.32,72.13,15060.14,199.24,29.123,0.0704
7929,Nylon_66,3000,1074.96,20.9,64.72,245.33,59.87,15.729,62.0247
7930,Steel_High_Carbon,210000,1258.26,23.39,114.91,14277.75,171.62,56.155,2.225
7931,Aluminum_6061,69000,802.23,46.74,57.28,2711.99,312.93,63.045,6.7658
7932,Brass,105000,690.49,59.61,104.25,9690.38,276.41,61.887,1.7882
7933,Aluminum_6061,69000,1622.61,24.28,110.22,4605.73,356.07,12.14,2.405
7934,Aluminum_6061,69000,347.42,42.96,77.36,12550.86,117.44,92.464,1.3615
7935,Steel_High_Carbon,210000,1007.15,49.02,49.24,1725.6,315.3,62.235,4.0359
7936,Brass,105000,757.89,43.6,91.84,2870.58,180.86,1.25,0.0218
7937,Nylon_66,3000,679.16,31.88,69.35,696.47,142.14,11.62,16.7912
7938,Magnesium_AZ31B,45000,991.09,47.26,106.04,6094.28,179.85,1.395,0.0363
7939,Stainless_304,193000,819.49,18.26,108.97,7933.2,178.08,10.018,0.1294
7940,Titanium_6Al4V,114000,244.02,50.44,74.48,112083.96,277.38,590.496,2.7194
7941,Polycarbonate,2400,616.48,25.85,75.41,110.01,245.71,2.55,3.5321
7942,Brass,105000,1813.31,23.62,35.01,600.35,139.62,146.722,87.159
7943,Magnesium_AZ31B,45000,946.74,13.16,108.88,4848.96,223.27,123.628,14.759
7944,Steel_High_Carbon,210000,1533.12,44.13,116.73,32171.17,38.33,310.287,19.511
7945,Magnesium_AZ31B,45000,386.42,32.79,91.85,15003.44,121.41,110.471,2.5849
7946,Stainless_304,193000,1248.91,31.79,58.79,1640.98,156.2,45.975,4.139
7947,Steel_Mild,200000,1771.02,51.81,101.57,4304.25,239.6,74.243,7.5972
7948,Stainless_304,193000,1629.11,38.23,85.07,5533.32,72.63,187.133,20.1064
7949,Steel_High_Carbon,210000,1662.99,42.78,71.72,3731.47,202.53,65.966,7.9363
7950,Magnesium_AZ31B,45000,1232.38,33.14,83.17,1081.05,14.28,8.985,2.3269
7951,Steel_Mild,200000,1946.24,31.02,75.9,2639.86,277.1,171.346,28.4767
7952,Steel_High_Carbon,210000,596.49,36.58,59.21,607.8,356.06,1.446,0.0222
7953,Aluminum_6061,69000,1301.68,35.48,58.7,2735.42,248.73,163.355,45.4161
7954,Aluminum_6061,69000,205.73,42.39,118.86,135735.53,236.14,254.072,0.8006
7955,Aluminum_6061,69000,1684.36,36.74,115.64,12662.93,163.99,74.736,17.0291
7956,Steel_High_Carbon,210000,913.62,59.15,20.92,2162.02,278.34,453.258,57.3773
7957,Titanium_6Al4V,114000,1354.12,34.01,105.89,31092.81,318.29,447.461,44.6347
7958,Titanium_6Al4V,114000,1681.18,41.91,54.01,4161.71,60.59,300.057,91.5401
7959,Titanium_6Al4V,114000,345.47,24.74,74.38,59336.39,237.14,775.526,7.0832
7960,Copper_Alloy,117000,620.12,46.86,37.95,3001.76,207.27,77.352,4.378
7961,Aluminum_6061,69000,1435.35,15.82,63.56,2004.04,142.81,164.851,51.1211
7962,Copper_Alloy,117000,1643.12,22.06,32.08,105.87,259.91,45.292,21.7059
7963,Magnesium_AZ31B,45000,957.49,40.12,47.37,2324.25,12.68,33.758,9.3349
7964,Aluminum_6061,69000,1751.81,48.7,60.85,4330.75,342.45,77.521,37.0908
7965,Aluminum_6061,69000,1078.74,14.89,33.67,200.85,304.88,63.412,21.0964
7966,Stainless_304,193000,1817.15,28.15,96.98,6126.68,97.6,250.451,29.4133
7967,Stainless_304,193000,239.98,23.67,101.38,8584.14,85.05,51.761,0.0993
7968,Titanium_6Al4V,114000,1758.74,52.76,83.06,10145.16,93.29,293.829,63.9473
7969,Stainless_304,193000,1477.83,35.13,54.05,747.03,284.84,62.498,8.7079
7970,Steel_High_Carbon,210000,1026.93,16.66,25.81,179.12,199.64,33.819,4.3356
7971,Brass,105000,1688.49,40.63,75.24,615.18,186.27,3.16,0.712
7972,Magnesium_AZ31B,45000,782.65,18.22,28.02,438.19,96.37,143.07,46.2989
7973,Nylon_66,3000,827.19,19.16,117.46,730.38,179.55,0.432,0.1657
7974,Aluminum_6061,69000,1788.57,58.73,48.99,2299.51,286.32,168.255,106.0036
7975,Aluminum_6061,69000,763.98,30.05,82.94,11140.64,172.13,38.287,2.3005
7976,Copper_Alloy,117000,1105.64,57.89,27.58,972.05,84.29,145.783,36.8008
7977,Steel_Mild,200000,678.85,20.06,52.03,319.27,231.84,19.028,0.5559
7978,Titanium_6Al4V,114000,546.07,26.61,78.87,8073.34,37.69,100.931,2.1602
7979,Nylon_66,3000,708.64,47.4,84.45,2035.25,153.7,11.812,14.9879
7980,Magnesium_AZ31B,45000,1526.56,58.91,92.43,4102.3,335.15,32.069,11.719
7981,Nylon_66,3000,1244.08,57.37,99.69,2679.08,220.66,23.223,78.848
7982,Steel_Mild,200000,1348.2,30.76,24.7,213.23,56.41,76.722,18.781
7983,Magnesium_AZ31B,45000,489.99,18.98,96.06,8338.79,147.66,79.001,2.773
7984,Titanium_6Al4V,114000,419.51,31.46,74.63,18256.82,154.75,119.217,1.543
7985,Steel_Mild,200000,1104.32,44.46,70.92,3383.43,120.98,86.537,4.9267
7986,Polycarbonate,2400,278.21,44.92,53.29,1952.15,295.34,23.514,9.3148
7987,Copper_Alloy,117000,1689.21,26.44,108.95,5457.63,77.25,172.387,25.6533
7988,Copper_Alloy,117000,797.76,27.68,40.85,2267.86,276.58,233.751,20.725
7989,Brass,105000,360.35,20.72,115.28,2004.45,170.33,3.49,0.0191
7990,Nylon_66,3000,1972.38,50.72,88.12,1620.98,186.62,5.976,55.0881
7991,Magnesium_AZ31B,45000,1464.59,44.39,70.83,1258.01,190.87,9.756,4.1999
7992,Aluminum_6061,69000,1211.6,38.71,101.56,861.78,263.74,15.631,2.1782
7993,Stainless_304,193000,1805.02,34.73,105.05,5486.74,20.28,55.166,5.7572
7994,Polycarbonate,2400,1711.48,40.38,91.42,1665.98,355.81,4.155,32.9662
7995,Titanium_6Al4V,114000,1993.67,30.54,88.19,18938.48,230.05,735.81,192.7102
7996,Steel_Mild,200000,994.37,18.87,28.29,206.11,273.72,81.285,9.4664
7997,Steel_Mild,200000,1992.29,55.64,101.78,7471.57,156.27,63.581,8.1061
7998,Magnesium_AZ31B,45000,259.32,23.17,35.57,2240.87,51.73,95.222,2.6153
7999,Steel_Mild,200000,1686.96,48.58,96.04,5830.92,227.54,98.045,9.5979
8000,Steel_High_Carbon,210000,846.3,55.73,83.74,13791.43,74.21,173.396,4.682
8001,Stainless_304,193000,1780.23,24.64,25.83,218.49,166.02,34.629,14.535
8002,Aluminum_6061,69000,1579.58,55.9,115.78,14899.21,54.15,154.167,31.803
8003,Copper_Alloy,117000,848.65,52.19,43.44,4529.84,283.09,228.628,21.5502
8004,Steel_Mild,200000,1549.05,31.23,67.29,1739.8,62.7,102.013,12.0786
8005,Aluminum_6061,69000,223.62,59.11,77.69,69419.4,239.17,234.362,1.3944
8006,Titanium_6Al4V,114000,1988.69,46.08,85.16,1038.63,7.09,4.841,1.2431
8007,Steel_Mild,200000,1645.48,32.83,102.52,7019.96,288.58,191.123,16.761
8008,Titanium_6Al4V,114000,1732.33,29.08,102.92,29366.02,323.5,597.494,100.5047
8009,Stainless_304,193000,265.32,44.15,84.75,4341.11,76.03,21.627,0.0607
8010,Stainless_304,193000,1729.24,48.56,42.01,733.09,210.13,44.864,10.9537
8011,Polycarbonate,2400,1139.48,34.5,34.91,313.88,169.65,9.427,94.7365
8012,Aluminum_6061,69000,1793.3,16.71,76.53,1529.83,306.3,136.283,55.0348
8013,Magnesium_AZ31B,45000,1692.83,29.56,57.43,597.75,52.95,49.918,36.7408
8014,Titanium_6Al4V,114000,822.05,11.26,86.08,4860.6,288.47,274.406,12.512
8015,Copper_Alloy,117000,219.71,48.26,113.21,49530.72,178.92,11.063,0.0177
8016,Aluminum_6061,69000,1241.44,35.02,66.03,649.72,192.6,7.19,1.5593
8017,Aluminum_6061,69000,1207.09,46.61,107.75,17388.95,69.95,219.974,28.5641
8018,Steel_High_Carbon,210000,202.81,49.06,67.04,52643.7,272.08,293.873,0.5655
8019,Titanium_6Al4V,114000,1324.23,45.85,115.45,56496.45,323.6,444.778,38.7176
8020,Stainless_304,193000,1335.44,39.31,40.59,634.92,230.44,60.818,9.1911
8021,Copper_Alloy,117000,743.09,48.25,64.21,7685.52,137.44,118.412,5.7088
8022,Copper_Alloy,117000,867.29,26.0,29.82,109.4,250.28,23.229,3.3315
8023,Copper_Alloy,117000,1615.08,42.06,42.32,970.47,183.24,7.601,2.4781
8024,Steel_Mild,200000,1747.2,39.98,35.93,1174.89,266.54,238.259,67.4603
8025,Aluminum_6061,69000,1417.58,34.99,110.1,6175.13,286.03,119.525,20.988
8026,Steel_High_Carbon,210000,1160.12,29.33,54.98,3059.75,294.19,219.955,17.0292
8027,Steel_High_Carbon,210000,796.91,15.52,55.27,2240.7,129.21,176.828,6.3871
8028,Polycarbonate,2400,447.1,57.95,76.97,2222.18,172.88,2.651,1.5553
8029,Steel_Mild,200000,730.59,44.65,39.14,220.22,50.72,11.007,0.4966
8030,Stainless_304,193000,1432.4,37.92,101.7,8312.32,71.21,173.217,12.0172
8031,Brass,105000,1990.64,55.08,112.68,12663.13,310.63,165.512,36.6486
8032,Stainless_304,193000,1482.57,44.85,113.5,11657.98,176.48,13.311,0.7374
8033,Aluminum_6061,69000,723.23,38.35,59.46,3932.94,269.85,125.956,10.6983
8034,Steel_Mild,200000,1441.91,36.08,85.98,5041.65,179.04,4.365,0.2212
8035,Polycarbonate,2400,1129.05,30.66,100.33,1127.43,319.25,16.443,57.0122
8036,Brass,105000,1671.69,39.27,75.81,5271.01,244.47,212.185,49.4733
8037,Stainless_304,193000,1514.11,28.91,39.17,1168.67,106.03,230.349,46.5087
8038,Copper_Alloy,117000,1156.64,54.12,40.49,953.49,329.08,38.699,7.2146
8039,Titanium_6Al4V,114000,1874.09,56.97,63.29,264.21,150.96,6.384,2.0509
8040,Titanium_6Al4V,114000,1799.93,22.87,61.41,3083.15,357.02,22.265,6.1921
8041,Brass,105000,1355.19,16.09,24.48,228.96,312.41,142.953,67.904
8042,Steel_Mild,200000,1956.76,31.48,80.69,3272.49,143.65,112.162,17.5741
8043,Steel_Mild,200000,1174.47,14.28,119.66,1348.88,151.4,22.967,0.8551
8044,Titanium_6Al4V,114000,1901.54,21.16,46.89,1173.61,117.54,255.758,115.0827
8045,Polycarbonate,2400,1770.05,23.0,106.12,186.95,147.22,4.216,34.0363
8046,Steel_Mild,200000,794.22,25.98,105.9,2432.46,299.04,35.269,0.6906
8047,Magnesium_AZ31B,45000,978.51,16.56,67.66,1693.0,309.22,102.578,21.2957
8048,Steel_Mild,200000,850.14,11.44,37.16,209.61,280.76,66.596,4.3108
8049,Aluminum_6061,69000,1286.74,37.49,103.33,13041.06,229.45,193.424,29.5885
8050,Brass,105000,1353.49,58.89,28.95,1039.73,186.84,20.981,8.186
8051,Brass,105000,1338.6,12.27,58.69,853.82,6.76,20.28,3.7023
8052,Magnesium_AZ31B,45000,1487.43,56.09,95.71,2571.58,339.98,15.748,5.2368
8053,Brass,105000,516.71,37.84,106.86,22637.85,250.4,155.496,2.4273
8054,Copper_Alloy,117000,1608.41,46.05,111.83,12799.11,236.32,179.935,23.5256
8055,Magnesium_AZ31B,45000,605.93,53.58,78.43,136.51,216.34,0.92,0.0619
8056,Nylon_66,3000,543.36,50.03,26.67,116.48,321.96,6.646,16.1765
8057,Titanium_6Al4V,114000,403.37,27.94,76.63,59849.36,222.42,618.12,7.3951
8058,Stainless_304,193000,1147.92,39.69,46.83,3015.61,179.87,2.164,0.0535
8059,Magnesium_AZ31B,45000,1657.13,41.1,71.22,834.51,175.23,3.594,1.8906
8060,Magnesium_AZ31B,45000,873.59,34.18,119.42,5441.13,121.49,50.675,4.7236
8061,Brass,105000,1596.22,27.03,82.02,2225.51,53.35,94.665,18.5485
8062,Polycarbonate,2400,288.42,48.57,71.23,1714.57,217.28,7.727,2.3663
8063,Nylon_66,3000,413.85,45.39,82.7,8056.21,254.07,62.784,28.5179
8064,Steel_Mild,200000,1150.92,30.72,87.39,1641.37,273.69,48.278,2.4359
8065,Magnesium_AZ31B,45000,1769.72,14.74,65.23,1054.57,213.73,100.065,70.5195
8066,Magnesium_AZ31B,45000,1085.5,55.87,20.7,192.83,194.54,13.332,11.1069
8067,Magnesium_AZ31B,45000,688.75,35.22,93.86,1226.5,248.52,15.363,1.1382
8068,Nylon_66,3000,580.86,17.25,118.29,3612.3,95.88,52.266,32.8861
8069,Steel_High_Carbon,210000,1927.34,15.89,107.78,4241.57,83.32,264.289,28.8766
8070,Stainless_304,193000,1821.83,33.13,113.08,2873.52,150.76,36.9,3.672
8071,Brass,105000,373.18,29.45,86.01,11592.18,311.9,92.158,0.9117
8072,Steel_High_Carbon,210000,1041.76,53.93,64.48,6355.36,5.31,18.221,0.8761
8073,Steel_Mild,200000,998.89,18.27,119.0,11568.4,28.83,134.053,3.6118
8074,Titanium_6Al4V,114000,778.84,20.1,49.09,2041.49,100.0,194.393,14.016
8075,Copper_Alloy,117000,1058.7,11.82,111.62,3979.44,319.28,114.379,6.4071
8076,Copper_Alloy,117000,1708.65,51.03,85.58,5858.09,26.83,73.741,14.0979
8077,Steel_Mild,200000,1119.47,59.12,116.22,3316.39,181.42,1.174,0.025
8078,Steel_High_Carbon,210000,283.73,51.4,68.42,40334.66,325.71,171.073,0.6007
8079,Aluminum_6061,69000,1496.95,15.01,35.73,453.23,332.16,99.962,60.1163
